bar_type,seed,agent_id,uncorrected_regret,corrected_regret
passive,24,8,0.08099912042273884,0.08099912042273884
passive,24,9,0.07825640531807351,0.07825640531807351
passive,25,0,0.08872276237465468,0.08872276237465468
passive,25,1,0.02516178435500875,0.02516178435500875
passive,25,2,0.07932591031555587,0.07932591031555587
passive,25,3,0.08583985595573741,0.08583985595573741
passive,25,4,0.1342218823150618,0.1342218823150618
passive,25,5,0.10807834635845318,0.10807834635845318
passive,25,6,0.09895550063198297,0.09895550063198297
passive,25,7,0.074525562315933,0.074525562315933
passive,25,8,0.03347708103163144,0.03347708103163144
passive,25,9,0.10209468890941663,0.10209468890941663
passive,26,0,0.0598648484617627,0.0598648484617627
passive,26,1,0.08254587365974098,0.08254587365974098
passive,26,2,0.11348975761597245,0.11348975761597245
passive,26,3,0.07226069748404322,0.07226069748404322
passive,26,4,0.023360433318567596,0.023360433318567596
passive,26,5,0.04795890009725146,0.04795890009725146
passive,26,6,0.09925217002387508,0.09925217002387508
passive,26,7,0.06094640384423882,0.06094640384423882
passive,26,8,0.09499103883058957,0.09499103883058957
passive,26,9,0.11750353556593393,0.11750353556593393
passive,27,0,0.04024730853032937,0.04024730853032937
passive,27,1,0.04204865956677053,0.04204865956677053
passive,27,2,0.050492097172651414,0.050492097172651414
passive,27,3,0.07645505428163236,0.07645505428163236
passive,27,4,0.13315237731757945,0.13315237731757945
passive,27,5,0.040670434792402295,0.040670434792402295
passive,27,6,0.04024730853032937,0.04024730853032937
passive,27,7,0.0676335701838522,0.0676335701838522
passive,27,8,0.09998401606283387,0.09998401606283387
passive,27,9,0.06403086811096989,0.06403086811096989
passive,28,0,0.04980063866706833,0.04980063866706833
passive,28,1,0.05931358127043158,0.05931358127043158
passive,28,2,0.04118867259855353,0.04118867259855353
passive,28,3,0.06746034948442035,0.06746034948442035
passive,28,4,0.06633840656856851,0.06633840656856851
passive,28,5,0.07230108501741893,0.07230108501741893
passive,28,6,0.06758849041367855,0.06758849041367855
passive,28,7,0.13425021946344376,0.13425021946344376
passive,28,8,0.10092538013105803,0.10092538013105803
passive,28,9,0.06278814241405568,0.06278814241405568
passive,29,0,0.05502411292876412,0.05502411292876412
passive,29,1,0.08237734519710706,0.08237734519710706
passive,29,2,0.041148285065177814,0.041148285065177814
passive,29,3,0.11043832273442128,0.11043832273442128
passive,29,4,0.15761065278201133,0.15761065278201133
passive,29,5,0.05640233770313235,0.05640233770313235
passive,29,6,0.060033376924396614,0.060033376924396614
passive,29,7,0.10438789088968838,0.10438789088968838
passive,29,8,0.06650693503120243,0.06650693503120243
passive,29,9,0.127608132894004,0.127608132894004
passive,30,0,0.06514076064182796,0.06514076064182796
passive,30,1,0.025330312817642663,0.025330312817642663
passive,30,2,0.041908468252518566,0.041908468252518566
passive,30,3,0.08819247418350969,0.08819247418350969
passive,30,4,0.07632691335237415,0.07632691335237415
passive,30,5,0.06514076064182796,0.06514076064182796
passive,30,6,0.07119119248656086,0.07119119248656086
passive,30,7,0.10147664732238916,0.10147664732238916
passive,30,8,0.15814094097315634,0.15814094097315634
passive,30,9,0.031675729995190284,0.031675729995190284
passive,31,0,0.08057599416066591,0.08057599416066591
passive,31,1,0.1335424741944725,0.1335424741944725
passive,31,2,0.03163534246181457,0.03163534246181457
passive,31,3,0.12218779302129235,0.12218779302129235
passive,31,4,0.11223967377086244,0.11223967377086244
passive,31,5,0.07191098814052589,0.07191098814052589
passive,31,6,0.023232292389309395,0.023232292389309395
passive,31,7,0.012046139678763198,0.012046139678763198
passive,31,8,0.02155908228212644,0.02155908228212644
passive,31,9,0.1443264796431319,0.1443264796431319
passive,32,0,0.056233809240498436,0.056233809240498436
passive,32,1,0.09415683669143748,0.09415683669143748
passive,32,2,0.1431835577270939,0.1431835577270939
passive,32,3,0.1054694462721645,0.1054694462721645
passive,32,4,0.13216593347918162,0.13216593347918162
passive,32,5,0.08600838441837132,0.08600838441837132
passive,32,6,0.10714434043842483,0.10714434043842483
passive,32,7,0.07590378709030124,0.07590378709030124
passive,32,8,0.06291628334331388,0.06291628334331388
passive,32,9,0.04779037163461755,0.04779037163461755
passive,33,0,0.023360433318567596,0.023360433318567596
passive,33,1,0.07299254352300201,0.07299254352300201
passive,33,2,0.043158552097628596,0.043158552097628596
passive,33,3,0.0944114344908765,0.0944114344908765
passive,33,4,0.06526890157108617,0.06526890157108617
passive,33,5,0.008443437605880889,0.008443437605880889
passive,33,6,0.07932591031555587,0.07932591031555587
passive,33,7,0.1034061392880885,0.1034061392880885
passive,33,8,0.06457744306550307,0.06457744306550307
passive,33,9,0.06938984145011971,0.06938984145011971
passive,34,0,0.07949443877818979,0.07949443877818979
passive,34,1,0.030425646150080254,0.030425646150080254
passive,34,2,0.07756494681249043,0.07756494681249043
passive,34,3,0.08583985595573741,0.08583985595573741
passive,34,4,0.0399385887534435,0.0399385887534435
passive,34,5,0.019629590316427085,0.019629590316427085
