agent_type,condition,seed,attendance_mean,price_mean,profit_mean
bayesian,price_aware,18,4.33,2.466035500703979,7.098080313543739
bayesian,price_blind,18,4.473333333333334,2.8343211717758665,9.09288049901707
bayesian,price_aware,19,4.183333333333334,2.394889996930322,6.327828829907324
bayesian,price_blind,19,4.43,2.7438148604169452,8.420874966008832
bayesian,price_aware,20,4.336666666666667,2.6409734179863653,7.451567124987193
bayesian,price_blind,20,4.373333333333333,2.7235890688092477,8.309495734050957
bayesian,price_aware,21,4.136666666666667,2.395041603767759,6.923267204444989
bayesian,price_blind,21,4.246666666666667,2.779846038271634,8.235507601314755
bayesian,price_aware,22,4.316666666666666,2.666532764363664,7.774982567408991
bayesian,price_blind,22,4.19,2.824414914788618,8.41564746450286
bayesian,price_aware,23,4.33,2.449803322503097,6.968034415876382
bayesian,price_blind,23,4.26,2.6709247419102806,7.674489618215842
bayesian,price_aware,24,4.373333333333333,2.2417696,6.610472533333334
bayesian,price_blind,24,4.133333333333334,2.7574968364250876,7.924268150433835
bayesian,price_aware,25,3.1733333333333333,8.16531680890045,19.414504866707947
bayesian,price_blind,25,4.36,2.6473418940127815,7.983435587885793
bayesian,price_aware,26,2.89,8.165397792409985,17.08482728097464
bayesian,price_blind,26,4.4366666666666665,2.726972384469139,8.56726600948624
bayesian,price_aware,27,4.49,2.220470051863183,6.989103638510453
bayesian,price_blind,27,4.373333333333333,2.7828091521226472,8.876994272242367
bayesian,price_aware,28,4.4366666666666665,2.2548630306912365,6.731119870149098
bayesian,price_blind,28,4.213333333333333,2.587201266373124,7.2598979561265935
bayesian,price_aware,29,3.2533333333333334,8.299541928573172,21.397693597083276
bayesian,price_blind,29,4.583333333333333,2.835839553240557,9.410164800239091
bayesian,price_aware,30,4.26,2.592772102426564,7.344417301762341
bayesian,price_blind,30,4.263333333333334,2.7707641274037047,8.188120331215107
bayesian,price_aware,31,4.12,2.271216219760047,6.328744045421692
bayesian,price_blind,31,4.413333333333333,2.489486489148973,7.627854149296176
bayesian,price_aware,32,4.34,2.227993123439135,6.555342749626223
bayesian,price_blind,32,4.29,2.6810128911406266,7.971941697745157
bayesian,price_aware,33,4.323333333333333,2.226217766567482,6.454915193057644
bayesian,price_blind,33,4.27,2.723201692548734,7.7920168534723935
bayesian,price_aware,34,4.1866666666666665,2.2862319296775784,6.484903617978862
bayesian,price_blind,34,4.38,2.741192657242642,8.353274006239806
bayesian,price_aware,35,4.343333333333334,2.5151337623153456,7.116563461383961
bayesian,price_blind,35,4.283333333333333,2.6592474410772087,7.8791379654487494
bayesian,price_aware,36,4.403333333333333,2.2790888433590526,6.775694630329833
bayesian,price_blind,36,4.366666666666666,2.652723542564028,7.960577008955824
bayesian,price_aware,37,4.253333333333333,2.3689512752362543,6.796944806739585
bayesian,price_blind,37,4.34,2.8602276118147265,8.939640057587164
bayesian,price_aware,38,4.3933333333333335,2.4124516879565463,7.251986330024358
bayesian,price_blind,38,4.26,2.6969345089609935,7.878898679790021
bayesian,price_aware,39,4.326666666666667,2.301626309048513,6.745529566996813
bayesian,price_blind,39,4.226666666666667,2.698297650366585,7.764577871930946
bayesian,price_aware,40,2.72,7.960466249373661,14.241392815716853
bayesian,price_blind,40,4.283333333333333,2.749623852064239,8.052132677762971
bayesian,price_aware,41,4.323333333333333,2.2780664457903885,6.50634888220552
bayesian,price_blind,41,4.1066666666666665,2.640201963821037,7.136869997324525
bayesian,price_aware,42,4.153333333333333,2.23008,6.126133333333333
bayesian,price_blind,42,4.273333333333333,2.622477220917375,7.4579767329714315
bayesian,price_aware,43,2.89,8.231895946592756,17.39439259954461
bayesian,price_blind,43,4.33,2.7557983876851537,8.421926485415602
bayesian,price_aware,44,4.256666666666667,2.3642797072067205,6.837181907106292
bayesian,price_blind,44,4.283333333333333,2.733241974218972,8.151878163364787
bayesian,price_aware,45,4.23,2.2491364627631185,6.2682130413453345
bayesian,price_blind,45,3.85,2.5310627140563002,6.194344783313116
bayesian,price_aware,46,4.443333333333333,2.493658322929544,7.425994740671255
bayesian,price_blind,46,4.39,2.7862466597530005,8.603243700294858
bayesian,price_aware,47,4.203333333333333,2.30982552373807,6.545083211124811
bayesian,price_blind,47,4.24,2.6569546501836125,7.81883855731746
